scenario,text_length_bucket,num_edits,ref_len,wer,length_ratio,error_tags,audio,answer,prediction,error
far_field,short,10,7,1.428571,1.428571,hallucination_like|insertion_heavy,/content/drive/MyDrive/qwen3-asr/data/mvp_eval/audio/far_field/far_field_0004.wav,Could you send the report before noon?,This is the first time I've ever seen it.,
far_field,short,7,6,1.166667,1.333333,hallucination_like|insertion_heavy,/content/drive/MyDrive/qwen3-asr/data/mvp_eval/audio/far_field/far_field_0005.wav,The package was delivered this morning.,The master is in the middle of nowhere.,
far_field,short,8,7,1.142857,1.142857,hallucination_like|insertion_heavy,/content/drive/MyDrive/qwen3-asr/data/mvp_eval/audio/far_field/far_field_0011.wav,The doctor will call you after lunch.,I'm going to be a good boy.,
far_field,short,8,7,1.142857,1.142857,hallucination_like|insertion_heavy,/content/drive/MyDrive/qwen3-asr/data/mvp_eval/audio/far_field/far_field_0013.wav,The meeting notes are ready for review.,We need to make sure we have enough.,
far_field,short,7,7,1.0,0.714286,hallucination_like|insertion_heavy,/content/drive/MyDrive/qwen3-asr/data/mvp_eval/audio/far_field/far_field_0007.wav,Turn left after the second traffic light.,One stop is seven stops.,
dropout,short,7,7,1.0,0.142857,too_short|hallucination_like|insertion_heavy,/content/drive/MyDrive/qwen3-asr/data/mvp_eval/audio/dropout/dropout_0007.wav,Turn left after the second traffic light.,Glide.,
far_field,short,7,7,1.0,1.0,hallucination_like|insertion_heavy,/content/drive/MyDrive/qwen3-asr/data/mvp_eval/audio/far_field/far_field_0008.wav,The customer asked for a faster response.,Protecting the lives of thousands of lives.,
far_field,long,25,26,0.961538,0.192308,too_short|hallucination_like,/content/drive/MyDrive/qwen3-asr/data/mvp_eval/audio/far_field/far_field_0018.wav,"When the conference room door stayed open, background conversations from the hallway mixed with the speaker's voice and made the final sentence difficult to understand.",You can see the sea.,
far_field,long,23,24,0.958333,0.75,hallucination_like,/content/drive/MyDrive/qwen3-asr/data/mvp_eval/audio/far_field/far_field_0021.wav,"The researcher explained that clean speech regression should be measured separately, since a model can improve noisy transcription while becoming worse on simple recordings.",The first thing you need to do is to make sure that you have a good internet connection.,
far_field,long,25,27,0.925926,0.851852,hallucination_like|repeat_like,/content/drive/MyDrive/qwen3-asr/data/mvp_eval/audio/far_field/far_field_0020.wav,"After the software update finished, the engineer recorded another test sentence to check whether the new audio pipeline still saved every file with the correct sample rate.",That's the truth. That's the way it's gonna be. And you're gonna have to learn to live with it.,
far_field,long,25,27,0.925926,0.296296,too_short|hallucination_like,/content/drive/MyDrive/qwen3-asr/data/mvp_eval/audio/far_field/far_field_0022.wav,"If the router sends a clearly degraded clip to the base model by mistake, the prediction may contain repeated phrases or confident words that were never spoken.",It's a long way from the city.,
far_field,long,24,26,0.923077,1.0,hallucination_like|repeat_like,/content/drive/MyDrive/qwen3-asr/data/mvp_eval/audio/far_field/far_field_0017.wav,The customer support team noticed that several callers sounded distant because their phones were lying on the table instead of being held close to the microphone.,"The council supports the idea of public transport as a means of transport for the general public, and the council is committed to the development of",
far_field,long,23,25,0.92,0.24,too_short|hallucination_like|repeat_like,/content/drive/MyDrive/qwen3-asr/data/mvp_eval/audio/far_field/far_field_0024.wav,A long sentence with several clauses is useful for testing whether the recognizer preserves word order when reverberation hides the beginning of the next phrase.,"Along the streets, along the streets,",
far_field,long,23,25,0.92,0.28,too_short|hallucination_like|repeat_like,/content/drive/MyDrive/qwen3-asr/data/mvp_eval/audio/far_field/far_field_0028.wav,"This synthetic benchmark is not a replacement for real speech data, but it is helpful for catching broken inference code and unstable evaluation scripts early.",This is the last of the last,
far_field,long,22,24,0.916667,0.25,too_short|hallucination_like,/content/drive/MyDrive/qwen3-asr/data/mvp_eval/audio/far_field/far_field_0019.wav,"Please review the evaluation report carefully, because the dropout samples may cause the model to skip important words near the middle of each utterance.",Please turn off the air conditioner.,
far_field,long,22,24,0.916667,0.125,too_short|hallucination_like,/content/drive/MyDrive/qwen3-asr/data/mvp_eval/audio/far_field/far_field_0029.wav,"When the network connection dropped for a moment, the audio stream lost several syllables, yet a robust recognizer should still recover the main instruction.","The number, the",
far_field,long,19,21,0.904762,0.333333,too_short|hallucination_like|repeat_like,/content/drive/MyDrive/qwen3-asr/data/mvp_eval/audio/far_field/far_field_0030.wav,"The final validation sentence intentionally includes multiple details about meetings, reports, microphones, and noisy rooms to expose omissions in longer transcriptions.",The man is talking to the man.,
far_field,long,23,26,0.884615,0.461538,too_short|hallucination_like|repeat_like,/content/drive/MyDrive/qwen3-asr/data/mvp_eval/audio/far_field/far_field_0027.wav,"The far field recording sounded quiet and muffled, so the evaluator checked whether the model missed short function words or invented extra context at the end.",The sky is falling. The sky is falling. The sky is falling.,
far_field,long,22,25,0.88,0.96,hallucination_like,/content/drive/MyDrive/qwen3-asr/data/mvp_eval/audio/far_field/far_field_0016.wav,"During the weekly project meeting, the product manager asked everyone to compare the clean audio results with the noisy recordings before making a training decision.",The plane was finally spotted moving. The pilot managed to activate the emergency fuel pump and was able to make it to the airport.,
dropout,long,22,25,0.88,0.28,too_short|hallucination_like,/content/drive/MyDrive/qwen3-asr/data/mvp_eval/audio/dropout/dropout_0024.wav,A long sentence with several clauses is useful for testing whether the recognizer preserves word order when reverberation hides the beginning of the next phrase.,"A long, full weatherizer preservation begins the.",
far_field,long,22,25,0.88,0.96,hallucination_like|repeat_like,/content/drive/MyDrive/qwen3-asr/data/mvp_eval/audio/far_field/far_field_0026.wav,"Before we claim that the adapter improves robustness, we need to compare every degraded scenario against the same Gemma four baseline using WER and CER.","Before we start the actual presentation, please make sure that you have your presentation materials ready and that you have your presentation slides ready.",
far_field,short,7,8,0.875,0.75,hallucination_like|repeat_like,/content/drive/MyDrive/qwen3-asr/data/mvp_eval/audio/far_field/far_field_0012.wav,I forgot to charge my phone last night.,"I'm just, I'm just,",
reverb,long,20,23,0.869565,1.0,hallucination_like,/content/drive/MyDrive/qwen3-asr/data/mvp_eval/audio/reverb/reverb_0025.wav,"The finance department left a detailed voicemail about the invoice number, payment deadline, and approval status, but the recording included strong background noise.","The financier determined to obtain the information, pay a debt, and improve his status, but the reward he needed is drawn from others.",
far_field,long,20,23,0.869565,0.73913,hallucination_like,/content/drive/MyDrive/qwen3-asr/data/mvp_eval/audio/far_field/far_field_0025.wav,"The finance department left a detailed voicemail about the invoice number, payment deadline, and approval status, but the recording included strong background noise.",The financial and investment institutions are also facing the challenge of increasing the scale of the market.,
dropout,long,18,21,0.857143,0.52381,hallucination_like,/content/drive/MyDrive/qwen3-asr/data/mvp_eval/audio/dropout/dropout_0030.wav,"The final validation sentence intentionally includes multiple details about meetings, reports, microphones, and noisy rooms to expose omissions in longer transcriptions.",The final validate intent small ports mic zero omissions and scripts.,
far_field,short,6,7,0.857143,0.714286,hallucination_like,/content/drive/MyDrive/qwen3-asr/data/mvp_eval/audio/far_field/far_field_0002.wav,The train will arrive at platform seven.,The people are the foundation.,
